Date,Open,High,Low,Close,Volume
2026-01-22 10:00:00,80.56,80.99,78.2,78.2,78586
2026-01-22 14:00:00,78.18,80.5,78.1,79.22,49010
2026-01-23 10:00:00,79.32,82.7,79.15,81.68,110613
2026-01-23 14:00:00,81.7,81.85,81.1,81.7,50818
2026-01-26 10:00:00,81.47,81.79,78.69,78.75,92490
2026-01-26 14:00:00,78.75,79.53,78.03,78.6,45958
2026-01-27 10:00:00,78.66,80.7,76.97,79.99,111834
2026-01-27 14:00:00,79.9,81.22,79.63,80.38,88848
2026-01-28 10:00:00,81.0,83.12,80.1,80.75,116883
2026-01-28 14:00:00,80.76,80.98,79.71,80.37,50819
2026-01-29 10:00:00,79.81,81.69,78.86,78.92,79136
2026-01-29 14:00:00,78.94,79.25,78.23,78.28,52604
2026-01-30 10:00:00,77.6,78.5,75.6,76.91,75139
2026-01-30 14:00:00,76.87,79.44,76.67,78.3,47870
2026-02-02 10:00:00,77.82,78.15,75.8,76.11,56708
2026-02-02 14:00:00,76.11,76.19,74.37,74.45,50312
2026-02-03 10:00:00,75.5,75.95,74.02,74.77,48678
2026-02-03 14:00:00,74.8,75.64,74.63,75.56,31198
2026-02-04 10:00:00,75.05,75.1,73.46,73.59,48726
2026-02-04 14:00:00,73.6,74.32,73.25,74.2,33231
2026-02-05 10:00:00,73.61,74.0,73.18,73.34,27178
2026-02-05 14:00:00,73.34,74.27,73.24,73.99,22398
2026-02-06 10:00:00,73.99,77.4,73.36,76.86,76966
2026-02-06 14:00:00,76.8,76.8,74.8,74.85,29077
2026-02-09 10:00:00,75.95,76.0,75.07,75.72,35847
2026-02-09 14:00:00,75.69,75.99,75.54,75.69,28328
2026-02-10 10:00:00,75.69,76.1,75.3,75.55,32002
2026-02-10 14:00:00,75.55,76.18,75.45,75.5,24083
2026-02-11 10:00:00,75.5,75.75,74.74,75.55,25397
2026-02-11 14:00:00,75.62,75.88,75.0,75.16,20064
2026-02-12 10:00:00,74.88,75.5,74.82,75.4,27899
2026-02-12 14:00:00,75.41,75.58,75.17,75.2,28359
2026-02-13 10:00:00,74.78,75.45,74.01,74.71,33002
2026-02-13 14:00:00,74.74,75.0,73.88,73.95,36004
2026-02-24 10:00:00,74.56,76.77,73.72,76.76,54324
2026-02-24 14:00:00,76.71,77.2,75.7,75.78,34542
2026-02-25 10:00:00,75.89,76.25,74.93,75.79,31723
2026-02-25 14:00:00,75.79,76.39,75.51,75.8,33525
2026-02-26 10:00:00,75.9,76.6,75.39,76.34,33449
2026-02-26 14:00:00,76.36,77.1,76.15,76.73,32800
2026-02-27 10:00:00,76.18,77.14,75.7,76.58,35733
2026-02-27 14:00:00,76.6,80.6,76.6,80.19,82774
2026-03-02 10:00:00,78.68,81.6,78.11,81.44,116040
2026-03-02 14:00:00,81.45,82.77,80.75,80.93,59340
2026-03-03 10:00:00,80.8,81.57,78.54,79.64,62940
2026-03-03 14:00:00,79.56,80.19,77.75,78.0,43211
2026-03-04 10:00:00,78.2,80.31,77.77,77.87,63803
2026-03-04 14:00:00,77.86,84.2,77.48,82.3,144267
2026-03-05 10:00:00,85.0,85.05,82.76,83.49,116092
2026-03-05 14:00:00,83.5,83.97,82.38,82.77,45679
2026-03-06 10:00:00,82.96,83.33,81.31,82.73,58753
2026-03-06 14:00:00,82.75,83.0,81.79,82.22,36312
2026-03-09 10:00:00,80.13,80.91,79.2,80.05,57909
2026-03-09 14:00:00,80.05,81.17,79.8,81.0,32130
2026-03-10 10:00:00,81.0,84.0,80.61,83.12,86949
2026-03-10 14:00:00,83.15,86.28,83.15,85.2,132808
2026-03-11 10:00:00,84.51,84.89,83.33,83.57,75762
2026-03-11 14:00:00,83.65,84.48,83.01,84.15,40569
2026-03-12 10:00:00,83.9,84.61,81.78,82.0,71932
2026-03-12 14:00:00,82.0,82.52,81.7,81.92,30352
2026-03-13 10:00:00,81.43,82.98,80.2,81.1,43434
2026-03-13 14:00:00,81.1,81.14,79.2,79.59,46605
